document_id,clean_text,sentiment
1,present fashionmnist new dataset compris x grayscal imag fashion product categori imag per categori train set imag test set imag fashionmnist intend serv direct dropin replac origin mnist dataset benchmark machin learn algorithm share imag size data format structur train test split dataset freeli avail http url,negative
2,tensorflow machin learn system oper larg scale heterogen environ tensorflow use dataflow graph repres comput share state oper mutat state map node dataflow graph across mani machin cluster within machin across multipl comput devic includ multicor cpu generalpurpos gpu customdesign asic known tensor process unit tpu architectur give flexibl applic develop wherea previou paramet server design manag share state built system tensorflow enabl develop experi novel optim train algorithm tensorflow support varieti applic focu train infer deep neural network sever googl servic use tensorflow product releas opensourc project becom wide use machin learn research paper describ tensorflow dataflow model demonstr compel perform tensorflow achiev sever realworld applic,positive
3,tensorflow interfac express machin learn algorithm implement execut algorithm comput express use tensorflow execut littl chang wide varieti heterogen system rang mobil devic phone tablet largescal distribut system hundr machin thousand comput devic gpu card system flexibl use express wide varieti algorithm includ train infer algorithm deep neural network model use conduct research deploy machin learn system product across dozen area comput scienc field includ speech recognit comput vision robot inform retriev natur languag process geograph inform extract comput drug discoveri paper describ tensorflow interfac implement interfac built googl tensorflow api refer implement releas opensourc packag apach licens novemb avail wwwtensorfloworg,negative
4,goal precipit nowcast predict futur rainfal intens local region rel short period time previou studi examin crucial challeng weather forecast problem machin learn perspect paper formul precipit nowcast spatiotempor sequenc forecast problem input predict target spatiotempor sequenc extend fulli connect lstm fclstm convolut structur inputtost statetost transit propos convolut lstm convlstm use build endtoend trainabl model precipit nowcast problem experi show convlstm network captur spatiotempor correl better consist outperform fclstm stateoftheart oper rover algorithm precipit nowcast,positive
5,widespread use artifici intellig ai system applic everyday live account fair gain signific import design engin system ai system use mani sensit environ make import lifechang decis thu crucial ensur decis reflect discriminatori behavior toward certain group popul recent work develop tradit machin learn deep learn address challeng differ subdomain commerci system research becom awar bias applic contain attempt address survey investig differ realworld applic shown bias variou way list differ sourc bias affect ai applic creat taxonomi fair definit machin learn research defin avoid exist bia ai system addit examin differ domain subdomain ai show research observ regard unfair outcom stateoftheart method way tri address still mani futur direct solut taken mitig problem bia ai system hope survey motiv research tackl issu near futur observ exist work respect field,positive
6,present open graph benchmark ogb diver set challeng realist benchmark dataset facilit scalabl robust reproduc graph machin learn ml research ogb dataset largescal million node billion edg encompass multipl import graph ml task cover diver rang domain rang social inform network biolog network molecular graph sourc code ast knowledg graph dataset provid unifi evalu protocol use meaning applicationspecif data split evalu metric addit build dataset also perform extens benchmark experi dataset experi suggest ogb dataset present signific challeng scalabl largescal graph outofdistribut gener realist data split indic fruit opportun futur research final ogb provid autom endtoend graph ml pipelin simplifi standard process graph data load experiment setup model evalu ogb regularli updat welcom input commun ogb dataset well data loader evalu script baselin code leaderboard publicli avail http url,positive
7,machin learn address question build comput improv automat experi one today rapidli grow technic field lie intersect comput scienc statist core artifici intellig data scienc recent progress machin learn driven develop new learn algorithm theori ongo explos avail onlin data lowcost comput adopt dataintens machinelearn method found throughout scienc technolog commerc lead evidencebas decisionmak across mani walk life includ health care manufactur educ financi model polic market,positive
8,interpret machin learn becom popular research direct deep neural network dnn becom power applic mainstream yet dnn remain difficult understand test concept activ vector tcav kim et al approach interpret dnn humanfriendli way recent receiv signific attent machin learn commun tcav algorithm achiev degre global interpret dnn humandefin concept explan project introduc robust tcav build tcav experiment determin best practic method object robust tcav make tcav consist reduc varianc tcav score distribut increas cav tcav score resist perturb differ mean method cav gener determin best practic achiev object mani area tcav process explor includ cav visual low dimens neg class select activ perturb direct cav final threshold techniqu consid remov nois tcav score project step direct make tcav alreadi impact algorithm interpret reliabl use practition,positive
9,quantit investig machin learn model leak inform individu data record train focu basic membership infer attack given data record blackbox access model determin record model train dataset perform membership infer target model make adversari use machin learn train infer model recogn differ target model predict input train versu input train empir evalu infer techniqu classif model train commerci machin learn servic provid googl amazon use realist dataset classif task includ hospit discharg dataset whose membership sensit privaci perspect show model vulner membership infer attack investig factor influenc leakag evalu mitig strategi,positive
10,right reserv part book may reproduc form electron mechan mean includ photocopi record inform storag retriev without permiss write publish machin learn probabilist perspect kevin p murphi p cm adapt comput machin learn seri includ bibliograph refer index content prefac xxvii introduct machin learn type machin learn supervis learn classif regress unsupervis learn discov cluster discov latent factor discov graph structur matrix complet basic concept machin learn parametr v nonparametr model simpl nonparametr classifi knearest neighbor cur dimension parametr model classif regress,positive
